,50pts,75pts,100pts,400pts,500pts,600pts,750pts
cluster1 / n,0.18,0.12,0.23,0.242,0.138,0.198,0.191
optimo / #cruce1,0.947,0.419,0.815,0.837,0.592,0.628,0.614
cluster2 / n,0.16,0.253,0.18,0.302,0.14,0.138,0.191
optimo / #cruce2,0.905,0.874,0.871,0.816,0.914,0.89,0.622
cluster3 / n,0.18,0.28,0.21,0.195,0.292,0.19,0.143
optimo / #cruce3,0.621,0.733,0.833,0.525,0.851,0.617,0.936
cluster4 / n,0.2,0.067,0.12,0.083,0.13,0.213,0.144
optimo / #cruce4,0.408,1,0.595,0.579,0.638,0.661,0.945
cluster5 / n,0.16,0.04,0.15,0.062,0.204,0.145,0.191
optimo / #cruce5,0.487,1,0.929,0.885,0.659,0.946,0.613
cluster6 / n,0.12,0.24,0.11,0.115,0.096,0.115,0.141
optimo / #cruce6,0.333,0.54,0.607,0.581,0.738,0.89,0.903
